time;station DB name;pollutant;unit;value
20220429200000;Brod;PM10;ug/m3;14.28
20220429200000;Brod;TempContatiner;C;6.03
20220429200000;Brod;Temp;degC;17.99
20220429200000;Brod;RelVl;%;49.00
20220429200000;Brod;AtPr;mbar;1004.24
20220429200000;Brod;SmVj;degrees;68.93
20220429200000;Brod;BrVj;m/s;0.97
20220429200000;Brod;DMS;ug/m3;0.00
20220429200000;Brod;CDS;ug/m3;0.00
20220429200000;Brod;ETME;ug/m3;0.00
20220429200000;Brod;MPXyl;ug/m3;0.00
20220429200000;Brod;DES;ug/m3;0.00
20220429200000;Brod;DMDS;ug/m3;0.01
20220429200000;Brod;OXyl;ug/m3;0.00
20220429200000;Brod;DEDS;ug/m3;0.00
20220429200000;Brod;EtBe;ug/m3;0.00
20220429200000;Brod;Benz;ug/m3;0.14
20220429200000;Brod;Tolu;ug/m3;0.10
20220429200000;Brod;NH3;ug/m3;0.01
20220429200000;Brod;PM25;ug/m3;0.00
20220429200000;Brod;CO2;mg/m3;0.00
20220429200000;Brod;N2O;mg/m3;0.00
20220429200000;Brod;CH4;mg/m3;1.00
20220429200000;Brod;NMHC;ppmC;0.77
20220429200000;Brod;THC;ppmC;2.28
20220429200000;Brod;CO;mg/m3;0.37
20220429200000;Brod;NO;ug/m3;7.03
20220429200000;Brod;NO2;ug/m3;27.79
20220429200000;Brod;NOx;ppb;20.14
20220429200000;Brod;O3;ug/m3;48.90
20220429200000;Brod;SO2;ug/m3;2.48
20220429200000;Brod;H2S;ug/m3;4.50
20220429200000;Gacko;Temp;°C;11.35
20220429200000;Gacko;ReVl;%;56.21
20220429200000;Gacko;AtPr;mbar;909.72
20220429200000;Gacko;GlSu;W/m2;11.82
20220429200000;Gacko;PM10;ug/m3;24.40
20220429200000;Gacko;SmVj;degrees;188.23
20220429200000;Gacko;BrVj;m/s;1.90
20220429200000;Gacko;NO;ug/m3;-0.70
20220429200000;Gacko;NO2;ug/m3;7.32
20220429200000;Gacko;NOx;ug/m3;5.33
20220429200000;Gacko;SO2;ug/m3;5.24
