tip,gas,godina,vrijednost
direct,CO2,2002,"3257,4"
direct,CO2,2003,"3827,2"
direct,CO2,2004,"4031,2"
direct,CO2,2005,"4216,6"
direct,CO2,2006,"4691,9"
direct,CO2,2007,"4109,1"
direct,CO2,2008,"4629,9"
direct,CO2,2009,"5028,8"
direct,CO2,2010,"5407,4"
direct,CO2,2011,"6328,6"
direct,CO2,2012,"5746,4"
direct,CO2,2013,"6006,0"
direct,CO2,2014,"6022,3"
direct,CO2,2015,"5996,5"
direct,CO2,2016,"7667,6"
direct,CO2,2017,"7706,8"
direct,CO2,2018,"8086,6"
direct,CO2,2019,"7722,0"
direct,CH4,2002,"433,0"
direct,CH4,2003,"453,3"
direct,CH4,2004,"915,4"
direct,CH4,2005,"952,6"
direct,CH4,2006,"1061,6"
direct,CH4,2007,"978,4"
direct,CH4,2008,"945,6"
direct,CH4,2009,"950,1"
direct,CH4,2010,"960,6"
direct,CH4,2011,"999,3"
direct,CH4,2012,"953,4"
direct,CH4,2013,"916,8"
direct,CH4,2014,"1003,9"
direct,CH4,2015,"931,1"
direct,CH4,2016,"975,8"
direct,CH4,2017,"958,5"
direct,CH4,2018,"954,1"
direct,CH4,2019,"960,1"
direct,N20,2002,"47,2"
direct,N20,2003,"48,7"
direct,N20,2004,"993,3"
direct,N20,2005,"1030,1"
direct,N20,2006,"1095,0"
direct,N20,2007,"984,0"
direct,N20,2008,"1005,4"
direct,N20,2009,"1029,8"
direct,N20,2010,"1000,6"
direct,N20,2011,"953,1"
direct,N20,2012,"911,0"
direct,N20,2013,"944,5"
direct,N20,2014,"711,9"
direct,N20,2015,"749,7"
direct,N20,2016,"919,4"
direct,N20,2017,"939,9"
direct,N20,2018,"929,2"
direct,N20,2019,"943,8"
direct,"CO2, понори/sinks",2002,"-2210,3"
direct,"CO2, понори/sinks",2003,"-2476,0"
direct,"CO2, понори/sinks",2004,"-1975,1"
direct,"CO2, понори/sinks",2005,"-2525,2"
direct,"CO2, понори/sinks",2006,"-1971,6"
direct,"CO2, понори/sinks",2007,"-2708,0"
direct,"CO2, понори/sinks",2008,"-2673,8"
direct,"CO2, понори/sinks",2009,"-2536,6"
direct,"CO2, понори/sinks",2010,"-2801,6"
direct,"CO2, понори/sinks",2011,"-2824,7"
direct,"CO2, понори/sinks",2012,"-2883,4"
direct,"CO2, понори/sinks",2013,"-2792,9"
direct,"CO2, понори/sinks",2014,"-2701,1"
direct,"CO2, понори/sinks",2015,"-2181,1"
direct,"CO2, понори/sinks",2016,"-2266,0"
direct,"CO2, понори/sinks",2017,"-2333,4"
direct,"CO2, понори/sinks",2018,"-2452,1"
direct,"CO2, понори/sinks",2019,"-2427,9"
indirect,NOx,2002,"14,5"
indirect,NOx,2003,"17,5"
indirect,NOx,2004,"18,4"
indirect,NOx,2005,"18,7"
indirect,NOx,2006,"19,3"
indirect,NOx,2007,"17,6"
indirect,NOx,2008,"19,0"
indirect,NOx,2009,"19,8"
indirect,NOx,2010,"21,2"
indirect,NOx,2011,"24,0"
indirect,NOx,2012,"22,2"
indirect,NOx,2013,"24,0"
indirect,NOx,2014,"25,4"
indirect,NOx,2015,"23,6"
indirect,NOx,2016,"29,8"
indirect,NOx,2017,"30,4"
indirect,NOx,2018,"31,0"
indirect,NOx,2019,"30,6"
indirect,CO,2002,"34,7"
indirect,CO,2003,"38,1"
indirect,CO,2004,"39,9"
indirect,CO,2005,"41,6"
indirect,CO,2006,"40,2"
indirect,CO,2007,"41,3"
indirect,CO,2008,"40,5"
indirect,CO,2009,"37,3"
indirect,CO,2010,"37,9"
indirect,CO,2011,"39,4"
indirect,CO,2012,"35,3"
indirect,CO,2013,"37,0"
indirect,CO,2014,"41,8"
indirect,CO,2015,"35,1"
indirect,CO,2016,"34,1"
indirect,CO,2017,"37,7"
indirect,CO,2018,"31,9"
indirect,CO,2019,"32,6"
indirect,NMVOCs,2002,"6,9"
indirect,NMVOCs,2003,"7,6"
indirect,NMVOCs,2004,"8,1"
indirect,NMVOCs,2005,"8,3"
indirect,NMVOCs,2006,"8,0"
indirect,NMVOCs,2007,"8,1"
indirect,NMVOCs,2008,"7,9"
indirect,NMVOCs,2009,"8,0"
indirect,NMVOCs,2010,"8,5"
indirect,NMVOCs,2011,"8,8"
indirect,NMVOCs,2012,"7,6"
indirect,NMVOCs,2013,"7,8"
indirect,NMVOCs,2014,"8,9"
indirect,NMVOCs,2015,"7,7"
indirect,NMVOCs,2016,"8,0"
indirect,NMVOCs,2017,"8,7"
indirect,NMVOCs,2018,"7,5"
indirect,NMVOCs,2019,"7,3"
indirect,SO2,2002,"132,4"
indirect,SO3,2003,"161,6"
indirect,SO4,2004,"142,4"
indirect,SO5,2005,"142,0"
indirect,SO6,2006,"185,1"
indirect,SO7,2007,"179,5"
indirect,SO8,2008,"183,0"
indirect,SO9,2009,"202,9"
indirect,SO10,2010,"230,2"
indirect,SO11,2011,"268,1"
indirect,SO12,2012,"223,4"
indirect,SO13,2013,"215,6"
indirect,SO14,2014,"222,0"
indirect,SO15,2015,"234,5"
indirect,SO16,2016,"263,8"
indirect,SO17,2017,"207,6"
indirect,SO18,2018,"271,6"
indirect,SO19,2019,"213,6"
