time;station DB name;pollutant;unit;value
20221119160000;Brod;PM10;ug/m3;45.39
20221119160000;Brod;SO2;ug/m3;12.45
20221119160000;Brod;H2S;ug/m3;4.87
20221119160000;Brod;PM25;ug/m3;39.94
20221119160000;Brod;TempContatiner;C;4.87
20221119160000;Brod;Benz;ug/m3;0.63
20221119160000;Brod;CDS;ug/m3;0.00
20221119160000;Brod;DEDS;ug/m3;0.00
20221119160000;Brod;DES;ug/m3;0.00
20221119160000;Brod;DMDS;ug/m3;0.00
20221119160000;Brod;DMS;ug/m3;0.00
20221119160000;Brod;ETME;ug/m3;0.00
20221119160000;Brod;EtBe;ug/m3;0.00
20221119160000;Brod;MPXyl;ug/m3;0.00
20221119160000;Brod;NH3;ug/m3;2.66
20221119160000;Brod;OXyl;ug/m3;0.00
20221119160000;Brod;Tolu;ug/m3;1.02
20221119160000;Brod;Temp;degC;8.60
20221119160000;Brod;RelVl;%;91.29
20221119160000;Brod;AtPr;mbar;993.83
20221119160000;Brod;SmVj;degrees;110.48
20221119160000;Brod;BrVj;m/s;2.62
20221119160000;Brod;CO2;mg/m3;0.00
20221119160000;Brod;N2O;mg/m3;0.00
20221119160000;Brod;CH4;mg/m3;0.16
20221119160000;Brod;NMHC;ppmC;0.10
20221119160000;Brod;THC;ppmC;0.34
20221119160000;Brod;CO;mg/m3;0.55
20221119160000;Brod;NO;ug/m3;5.93
20221119160000;Brod;NO2;ug/m3;16.94
20221119160000;Brod;NOx;ppb;13.64
20221119160000;Brod;O3;ug/m3;13.41
20221119160000;Gacko;Temp;°C;8.55
20221119160000;Gacko;ReVl;%;94.82
20221119160000;Gacko;AtPr;mbar;899.35
20221119160000;Gacko;GlSu;W/m2;3.96
20221119160000;Gacko;PM10;ug/m3;31.01
20221119160000;Gacko;SmVj;degrees;141.68
20221119160000;Gacko;BrVj;m/s;0.64
20221119160000;Gacko;NO;ug/m3;0.57
20221119160000;Gacko;NO2;ug/m3;17.11
20221119160000;Gacko;NOx;ug/m3;15.35
20221119160000;Gacko;SO2;ug/m3;5.67
20221119160000;Ugljevik;Cont;;0.00
20221119160000;Ugljevik;Temp;°C;8.14
20221119160000;Ugljevik;ReVl;%;99.29
20221119160000;Ugljevik;AtPr;mbar;989.75
20221119160000;Ugljevik;SunZrac;W/m2;11.08
20221119160000;Ugljevik;PM10;ug/m3;0.00
20221119160000;Ugljevik;SmVj;degrees;314.55
20221119160000;Ugljevik;BrVj;m/s;0.51
20221119160000;Ugljevik;NO;ug/m3;0.00
20221119160000;Ugljevik;NO2;ug/m3;0.00
20221119160000;Ugljevik;NOx;ug/m3;0.00
20221119160000;Ugljevik;SO2;ug/m3;0.00
